,Date,Name / Description,Expense/Income,Amount (EUR),Transaction vs category,Transaction,Category
0,2023-12-30,Belastingdienst,Expense,9.96,1. Belastingdienst - Taxes,Belastingdienst,Taxes
1,2023-12-30,Tesco Breda,Expense,17.53,2. Tesco Breda - Grocery,Tesco Breda,Grocery
2,2023-12-30,Monthly Appartment Rent,Expense,451.0,3. Monthly Appartment Rent - Rent,Monthly Appartment Rent,Rent
3,2023-12-30,Vishandel Sier Amsterdam,Expense,12.46,4. Vishandel Sier Amsterdam - Food,Vishandel Sier Amsterdam,Food and Drinks
4,2023-12-29,Selling Paintings,Income,13.63,5. Selling Paintings - Income,Selling Paintings,Income
5,2023-12-29,Spotify Ab By Adyen,Expense,12.19,6. Spotify Ab By Adyen - Entertainment,Spotify Ab By Adyen,Entertainment
6,2023-12-23,Tk Maxx Amsterdam Da,Expense,27.08,7. Tk Maxx Amsterdam Da - Clothing,Tk Maxx Amsterdam Da,Clothing
7,2023-12-22,Consulting,Income,541.57,8. Consulting - Work,Consulting,Work
8,2023-12-22,Aidsfonds,Expense,10.7,9. Aidsfonds - Charity,Aidsfonds,Charity
9,2023-12-20,Consulting,Income,2641.93,8. Consulting - Work,Consulting,Work
10,2023-12-19,Tls Bv Inz Ov-Chipkaart,Expense,18.9,10. Tls Bv Inz Ov-Chipkaart - Transportation,Tls Bv Inz Ov-Chipkaart,Transportation
11,2023-12-18,Etos Amsterdam,Expense,17.67,11. Etos Amsterdam - Health,Etos Amsterdam,Health and Wellness
12,2023-12-18,Tesco Breda,Expense,8.809999999999999,2. Tesco Breda - Grocery,Tesco Breda,Grocery
13,2023-12-18,Beta Boulders Ams Amsterdam,Expense,6.94,12. Beta Boulders Ams Amsterdam - Sport,Beta Boulders Ams Amsterdam,Sport and Fitness
14,2022-11-26,Salary,Income,14.36,13. Salary - Income,Salary,Income
15,2022-11-26,Bouldermuur Bv Amsterdam,Expense,19.27,14. Bouldermuur Bv Amsterdam - Sport,Bouldermuur Bv Amsterdam,Sport and Fitness
16,2022-11-26,Birtat Restaurant Amsterdam,Expense,24.71,15. Birtat Restaurant Amsterdam - Dining,Birtat Restaurant Amsterdam,Dining
17,2022-11-25,Tesco Breda,Expense,17.35,2. Tesco Breda - Grocery,Tesco Breda,Grocery
18,2022-11-24,Freelancing,Income,2409.55,16. Freelancing - Work,Freelancing,Work
19,2022-11-19,Tikkie,Expense,20.76,17. Tikkie - Expenses,Tikkie,Expenses
20,2022-10-25,Blogging,Income,4044.27,18. Blogging - Income,Blogging,Income
21,2022-10-24,Taxi Utrecht,Expense,18.9,19. Taxi Utrecht - Transportation,Taxi Utrecht,Transportation
22,2022-10-23,Tesco Breda,Expense,27.54,2. Tesco Breda - Grocery,Tesco Breda,Grocery
23,2022-10-22,Apple Services,Expense,41.25,20. Apple Services - Tech,Apple Services,Tech
24,2022-10-21,Tesco Breda,Expense,22.8,2. Tesco Breda - Grocery,Tesco Breda,Grocery
25,2022-01-16,Amazon Lux,Expense,24.11,21. Amazon Lux - Shopping,Amazon Lux,Shopping
26,2022-01-15,Classpass* Monthly,Expense,30.08,22. Classpass* Monthly - Fitness,Classpass* Monthly,Sport and Fitness
27,2022-01-14,Audible Uk AdblCo/Pymt Gbr,Expense,11.0,23. Audible Uk AdblCo/Pymt Gbr - Entertainment,Audible Uk AdblCo/Pymt Gbr,Entertainment
